ranking,titulo,pontuacao,diretores,atores,generos
1,Inside Job,69.27199999999972,Charles Ferguson,Matt Damon; William Ackman; Barack Obama,Documentary
2,Fahrenheit 9/11,69.27199999999971,Michael Moore,Robert De Niro; Michael Moore; George W. Bush,Documentary
3,The Shining,68.95699999999971,Stanley Kubrick,Jack Nicholson; Shelley Duvall; Danny Lloyd,Horror; Thriller
4,An Inconvenient Truth,68.59999999999971,Davis Guggenheim,Al Gore; Billy West; Ronald Reagan,Documentary
5,"Il buono, il brutto, il cattivo",68.59999999999971,Sergio Leone,Eli Wallach; Clint Eastwood; Lee Van Cleef,Western
6,Night of the Living Dead,68.59999999999971,George A. Romero,Duane Jones; Judith O'Dea; Karl Hardman,Horror
7,Poltergeist,68.59999999999971,Tobe Hooper,Craig T. Nelson; JoBeth Williams; Beatrice Straight,Horror
8,3:10 to Yuma,68.59999999999971,James Mangold,Russell Crowe; Christian Bale; Logan Lerman,Western
9,Unforgiven,68.59999999999971,Clint Eastwood,Clint Eastwood; Gene Hackman; Morgan Freeman,Western
10,Bowling for Columbine,68.59999999999971,Michael Moore,Michael Moore; George H. W. Bush; George W. Bush,Documentary
