usuario_id,ranking,filme,pontuacao
1,1,3:10 to Yuma,68.82399999999971
1,2,Unforgiven,68.82399999999971
1,3,WALL·E,68.59999999999971
2,1,WALL·E,68.59999999999971
2,2,Finding Nemo,68.59999999999971
2,3,Memento,68.39699999999971
3,1,Alien,22.301999999999992
3,2,The Empire Strikes Back,21.272999999999993
3,3,The Matrix,20.740999999999993
4,1,Se7en,69.04799999999972
4,2,Glory,68.82399999999971
4,3,Fahrenheit 9/11,68.82399999999971
5,1,Jurassic Park,68.67699999999972
5,2,Le fabuleux destin d'Amélie Poulain,68.59999999999971
5,3,Unforgiven,68.54399999999971
